id,name,school,class,rarity,attackType,armorType,role,position,weapon,obtainability,imageUrl
ayane,アヤネ,アビドス,ヒーラー,2,piercing,light,special,BACK,HG,permanent,
ayane-mizugi,アヤネ（水着）,アビドス,T.S,1,piercing,light,special,BACK,HG,event,
shiroko,シロコ,アビドス,アタッカー,3,explosive,light,striker,MIDDLE,AR,permanent,
shiroko-riding,シロコ（ライディング）,アビドス,アタッカー,3,mystic,heavy,striker,MIDDLE,AR,permanent,
shiroko-mizugi,シロコ（水着）,アビドス,アタッカー,3,mystic,light,special,BACK,AR,permanent,
shiroko-terror,シロコ＊テラー,アビドス,アタッカー,3,mystic,special,striker,MIDDLE,AR,limited,
serika,セリカ,アビドス,アタッカー,2,explosive,light,striker,MIDDLE,AR,permanent,
serika-shougatsu,セリカ（正月）,アビドス,サポーター,3,piercing,special,special,BACK,AR,permanent,
serika-mizugi,セリカ（水着）,アビドス,アタッカー,3,mystic,heavy,special,BACK,AR,permanent,
nonomi,ノノミ,アビドス,アタッカー,2,piercing,light,striker,BACK,MG,event,
nonomi-mizugi,ノノミ（水着）,アビドス,アタッカー,3,explosive,special,striker,BACK,MG,permanent,
hoshino,ホシノ,アビドス,タンク,3,piercing,heavy,striker,FRONT,SG,permanent,
hoshino-mizugi,ホシノ（水着）,アビドス,サポーター,3,explosive,special,striker,FRONT,SG,limited,
hoshino-rinsen,ホシノ（臨戦）,アビドス,タンク,3,mystic,heavy,striker,FRONT,SG,limited,

airi,アイリ,トリニティ,サポーター,2,explosive,light,special,BACK,SMG,permanent,
airi-band,アイリ（バンド）,トリニティ,アタッカー,1,explosive,special,striker,FRONT,SMG,event,
azusa,アズサ,トリニティ,アタッカー,3,explosive,heavy,striker,MIDDLE,AR,permanent,
azusa-mizugi,アズサ（水着）,トリニティ,アタッカー,3,mystic,light,striker,MIDDLE,AR,limited,
ichika,イチカ,トリニティ,アタッカー,3,sonic,heavy,striker,MIDDLE,AR,permanent,
ichika-mizugi,イチカ（水着）,トリニティ,サポーター,1,sonic,special,special,BACK,AR,event,
ui,ウイ,トリニティ,サポーター,3,explosive,light,striker,BACK,SL,permanent,
ui-mizugi,ウイ（水着）,トリニティ,サポーター,3,piercing,elastic,striker,BACK,SL,limited,
kazusa,カズサ,トリニティ,アタッカー,3,piercing,heavy,striker,BACK,MG,permanent,
kazusa-band,カズサ（バンド）,トリニティ,アタッカー,3,explosive,special,striker,BACK,MG,limited,
koharu,コハル,トリニティ,ヒーラー,3,explosive,heavy,striker,BACK,SL,permanent,
